fname,itp,tp_prob,its,ts_prob
SC.PWU_20180211210554.mseed_9000,[],[],[],[]
SC.PWU_20180211210554.mseed_12000,[1514],[0.77673],[1961],[0.850047]
SC.PWU_20180211210554.mseed_15000,[],[],[],[]
SC.ZJG_20180309120852.mseed_0,[],[],[2361],[0.429881]
SC.ZJG_20180309120852.mseed_3000,[11],[0.955765],[173],[0.600872]
SC.ZJG_20180309120852.mseed_6000,[],[],[],[]
SC.ZJG_20180309120852.mseed_9000,[],[],[],[]
SC.ZJG_20180309120852.mseed_12000,[1511],[0.959768],[1676],[0.548194]
SC.ZJG_20180309120852.mseed_15000,[2404],[0.3614],[],[]
SC.PWU_20180722015215.mseed_0,[],[],[],[]
SC.PWU_20180722015215.mseed_3000,[12],[0.420602],[876],[0.636131]
SC.PWU_20180722015215.mseed_6000,[],[],[],[]
SC.PWU_20180722015215.mseed_9000,[],[],[],[]
SC.PWU_20180722015215.mseed_12000,[1506],[0.913951],[2375],[0.549148]
SC.PWU_20180722015215.mseed_15000,[],[],[],[]
SC.ZJG_20180908110622.mseed_0,[],[],[],[]
SC.ZJG_20180908110622.mseed_3000,[],[],[442],[0.821198]
SC.ZJG_20180908110622.mseed_6000,[],[],[],[]
SC.ZJG_20180908110622.mseed_9000,[],[],[],[]
SC.ZJG_20180908110622.mseed_12000,[1507],[0.805019],[1945],[0.855785]
SC.ZJG_20180908110622.mseed_15000,[],[],[],[]
SC.JMG_20180618224351.mseed_0,[],[],[],[]
SC.JMG_20180618224351.mseed_3000,[12],[0.918529],[706],[0.873987]
SC.JMG_20180618224351.mseed_6000,[],[],[],[]
SC.JMG_20180618224351.mseed_9000,[],[],[],[]
SC.JMG_20180618224351.mseed_12000,[1511],[0.957519],[2206],[0.883256]
SC.JMG_20180618224351.mseed_15000,[],[],[],[]
SC.WCH_20181009170116.mseed_0,[],[],[],[]
SC.WCH_20181009170116.mseed_3000,[24],[0.550254],[1885],[0.564239]
SC.WCH_20181009170116.mseed_6000,[],[],[],[]
SC.WCH_20181009170116.mseed_9000,[],[],[],[]
SC.WCH_20181009170116.mseed_12000,[1505],[0.600503],[],[]
SC.WCH_20181009170116.mseed_15000,[],[],[385],[0.646383]
SC.MDS_20181014050841.mseed_0,[],[],[],[]
SC.MDS_20181014050841.mseed_3000,[26],[0.624694],[1777 2233],[0.537212 0.494684]
SC.MDS_20181014050841.mseed_6000,[],[],[],[]
SC.MDS_20181014050841.mseed_9000,[],[],[],[]
SC.MDS_20181014050841.mseed_12000,[1516],[0.752671],[],[]
SC.MDS_20181014050841.mseed_15000,[277],[0.441807],[733],[0.304041]
SC.YZP_20180531022806.mseed_0,[],[],[],[]
SC.YZP_20180531022806.mseed_3000,[10],[0.943621],[276],[0.509217]
SC.YZP_20180531022806.mseed_6000,[],[],[],[]
SC.YZP_20180531022806.mseed_9000,[],[],[],[]
SC.YZP_20180531022806.mseed_12000,[1508],[0.937464],[1771],[0.417183]
SC.YZP_20180531022806.mseed_15000,[],[],[],[]
SC.YZP_20180721134934.mseed_0,[2916],[0.376183],[],[]
SC.YZP_20180721134934.mseed_3000,[],[],[],[]
SC.YZP_20180721134934.mseed_6000,[],[],[],[]
SC.YZP_20180721134934.mseed_9000,[],[],[],[]
SC.YZP_20180721134934.mseed_12000,[1465],[0.407492],[],[]
SC.YZP_20180721134934.mseed_15000,[],[],[],[]
SC.GZA_20180811212546.mseed_0,[],[],[1979],[0.303292]
SC.GZA_20180811212546.mseed_3000,[20],[0.553024],[1125],[0.765416]
SC.GZA_20180811212546.mseed_6000,[],[],[],[]
SC.GZA_20180811212546.mseed_9000,[],[],[],[]
SC.GZA_20180811212546.mseed_12000,[1519],[0.891807],[2625],[0.812679]
SC.GZA_20180811212546.mseed_15000,[],[],[],[]
SC.PWU_20180318231330.mseed_0,[],[],[],[]
SC.PWU_20180318231330.mseed_3000,[9],[0.964865],[615 677],[0.416801 0.350154]
SC.PWU_20180318231330.mseed_6000,[],[],[],[]
SC.PWU_20180318231330.mseed_9000,[],[],[],[]
SC.PWU_20180318231330.mseed_12000,[1507],[0.975511],[2172],[0.462907]
SC.PWU_20180318231330.mseed_15000,[],[],[],[]
SC.PWU_20180920192829.mseed_0,[],[],[],[]
SC.PWU_20180920192829.mseed_3000,[12],[0.916597],[540],[0.850082]
SC.PWU_20180920192829.mseed_6000,[],[],[],[]
SC.PWU_20180920192829.mseed_9000,[],[],[],[]
SC.PWU_20180920192829.mseed_12000,[1510],[0.934503],[2041],[0.842136]
SC.PWU_20180920192829.mseed_15000,[],[],[],[]
SC.PWU_20180918053924.mseed_0,[],[],[],[]
SC.PWU_20180918053924.mseed_3000,[7],[0.93926],[544],[0.891263]
SC.PWU_20180918053924.mseed_6000,[],[],[],[]
SC.PWU_20180918053924.mseed_9000,[],[],[],[]
SC.PWU_20180918053924.mseed_12000,[1502],[0.979126],[2044],[0.891549]
SC.PWU_20180918053924.mseed_15000,[],[],[],[]
SC.PWU_20180603195549.mseed_0,[],[],[],[]
SC.PWU_20180603195549.mseed_3000,[65],[0.744222],[1178],[0.650343]
SC.PWU_20180603195549.mseed_6000,[],[],[],[]
SC.PWU_20180603195549.mseed_9000,[],[],[],[]
SC.PWU_20180603195549.mseed_12000,[1557],[0.526135],[2676],[0.635005]
SC.PWU_20180603195549.mseed_15000,[],[],[],[]
SC.JMG_20180222171744.mseed_0,[],[],[],[]
SC.JMG_20180222171744.mseed_3000,[],[],[877],[0.703147]
SC.JMG_20180222171744.mseed_6000,[2816],[0.529338],[],[]
SC.JMG_20180222171744.mseed_9000,[],[],[],[]
SC.JMG_20180222171744.mseed_12000,[1506],[0.89942],[2377],[0.702231]
SC.JMG_20180222171744.mseed_15000,[],[],[],[]
SC.JMG_20180128182148.mseed_0,[],[],[],[]
SC.JMG_20180128182148.mseed_3000,[],[],[1092 1860],[0.589701 0.302049]
SC.JMG_20180128182148.mseed_6000,[],[],[],[]
SC.JMG_20180128182148.mseed_9000,[],[],[],[]
SC.JMG_20180128182148.mseed_12000,[1510],[0.87763],[2593],[0.554608]
SC.JMG_20180128182148.mseed_15000,[],[],[],[]
SC.ZJG_20180128161615.mseed_0,[],[],[],[]
SC.ZJG_20180128161615.mseed_3000,[1323],[0.556227],[1733],[0.811043]
SC.ZJG_20180128161615.mseed_6000,[],[],[],[]
SC.ZJG_20180128161615.mseed_9000,[],[],[],[]
SC.ZJG_20180128161615.mseed_12000,[],[],[2817],[0.489653]
SC.ZJG_20180128161615.mseed_15000,[],[],[230],[0.7851]
SC.JMG_20180505003645.mseed_0,[],[],[],[]
SC.JMG_20180505003645.mseed_3000,[28],[0.711223],[1036],[0.636292]
SC.JMG_20180505003645.mseed_6000,[],[],[1337],[0.328223]
