fname,itp,tp_prob,its,ts_prob
SC.JZG_20181014043522.mseed_9000,[],[],[],[]
SC.JMG_20180103215154.mseed_9000,[],[],[],[]
SC.JMG_20180611005513.mseed_6000,[],[],[],[]
SC.JMG_20180103215154.mseed_12000,[1503],[0.893418],[2262],[0.845284]
SC.JZG_20181014043522.mseed_12000,[1719],[0.362133],[],[]
SC.YZP_20180420115704.mseed_0,[],[],[],[]
SC.YZP_20181128180037.mseed_0,[],[],[],[]
SC.YZP_20180615205615.mseed_0,[],[],[],[]
SC.MDS_20180710031731.mseed_0,[],[],[],[]
SC.MDS_20180710031731.mseed_3000,[],[],[],[]
SC.YZP_20180420115704.mseed_3000,[],[],[],[]
SC.YZP_20180615205615.mseed_3000,[9],[0.705541],[674],[0.738721]
SC.MDS_20180710031731.mseed_6000,[],[],[],[]
SC.YZP_20180420115704.mseed_6000,[],[],[],[]
SC.MDS_20180710031731.mseed_9000,[],[],[],[]
SC.JMG_20180103215154.mseed_15000,[],[],[55],[0.444157]
SC.MDS_20180710031731.mseed_12000,[1521],[0.685969],[],[]
SC.YZP_20180420115704.mseed_9000,[],[],[],[]
SC.YZP_20181128180037.mseed_3000,[],[],[81],[0.677254]
SC.JMG_20180611005513.mseed_9000,[],[],[],[]
SC.YZP_20180420115704.mseed_12000,[1513],[0.61418],[],[]
SC.JZG_20181014043522.mseed_15000,[],[],[],[]
SC.YZP_20180615205615.mseed_6000,[],[],[],[]
SC.YZP_20181128180037.mseed_6000,[],[],[],[]
SC.JMG_20180611005513.mseed_12000,[1514],[0.922082],[2202],[0.791659]
SC.YZP_20180420115704.mseed_15000,[],[],[],[]
SC.MDS_20180710031731.mseed_15000,[],[],[],[]
SC.MDS_20180610061154.mseed_0,[],[],[],[]
SC.JMG_20180330133903.mseed_0,[],[],[],[]
SC.AXI_20180617175906.mseed_0,[],[],[],[]
SC.YZP_20181128180037.mseed_9000,[],[],[],[]
SC.JMG_20180330133903.mseed_3000,[10],[0.912473],[710],[0.877017]
SC.YZP_20181128180037.mseed_12000,[1521 2423],[0.33295 0.323095],[],[]
SC.YZP_20180615205615.mseed_9000,[],[],[],[]
SC.YZP_20181128180037.mseed_15000,[],[],[744],[0.475352]
SC.AXI_20180617175906.mseed_3000,[11],[0.716723],[303],[0.774901]
SC.JMG_20180330133903.mseed_6000,[],[],[],[]
SC.AXI_20180617175906.mseed_6000,[],[],[],[]
SC.JMG_20180611005513.mseed_15000,[],[],[56],[0.469986]
SC.YZP_20180615205615.mseed_12000,[1507],[0.935031],[2172],[0.722973]
SC.YZP_20180615205615.mseed_15000,[],[],[],[]
SC.AXI_20180617175906.mseed_9000,[],[],[],[]
SC.MDS_20180610061154.mseed_3000,[9],[0.442374],[1701],[0.541695]
SC.YZP_20180630154155.mseed_0,[],[],[],[]
SC.JMG_20180330133903.mseed_9000,[],[],[],[]
SC.AXI_20180617175906.mseed_12000,[1507],[0.879418],[1804],[0.859405]
SC.YZP_20181120060111.mseed_0,[],[],[],[]
SC.YZP_20180719133603.mseed_0,[],[],[],[]
